test_name,test_status,test_result
parcabcrs4x_ijtag_basic_tap_tests_rw_access,PASS,PASS
paracchap_ijtag_basic_tap_tests_rw_access,PASS,PASS
parcabhmab_ijtag_basic_tap_tests_rw_access,PASS,PASS
paracciommu_ijtag_basic_tap_tests_rw_access,PASS,PASS
paraccasf_ijtag_basic_tap_tests_rw_access,FAIL,Error between simulated and expected patterns
parcabhmaa_ijtag_basic_tap_tests_rw_access,PASS,PASS
paraccchassis_ijtag_basic_tap_tests_rw_access,PASS,PASS
parcabama_ijtag_basic_tap_tests_rw_access,PASS,PASS
paruboxspk_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfubruioadaktype2_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
paraccitc_ijtag_basic_tap_tests_rw_access,PASS,PASS
parscfubruioadaktype1_ijtag_basic_tap_tests_reset,PASS,PASS
parscfubruioadaktype2_ijtag_basic_tap_tests_reset,PASS,PASS
parscfubruioadaktype1_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfubrsca_ijtag_basic_tap_tests_reset,PASS,PASS
parscfubrsca_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
paruboxspk_ssn_continuity,PASS,PASS
paruboxspk_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfubrd2d_ijtag_basic_tap_tests_reset,PASS,PASS
parscfubrd2d_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parswinf2_ssn_continuity,PASS,PASS
parswinf2_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parswinf1_ssn_continuity,PASS,PASS
parswinf0_ssn_continuity,PASS,PASS
parswinf1_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parswinf0_stuckat_edt_edt_low_internal_loopback,FAIL,"ERROR:  Clock period error detected, simulation aborted."
parsocrasip_ssn_continuity,PASS,PASS
parseinf2_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parsocrasip_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parsocmiofivrmisc_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parsocmiofivrmisc_ssn_continuity,PASS,PASS
parscftqp2p_ijtag_basic_tap_tests_reset,PASS,PASS
parscfmemch0s_ijtag_basic_tap_tests_reset,PASS,PASS
parscfmemch1n_ijtag_basic_tap_tests_reset,PASS,PASS
parscfmemch1n_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscftqp2p_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfmemch0s_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parscfioinf2w_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfioinf2w_ijtag_basic_tap_tests_reset,PASS,PASS
parscfioinf2e_ijtag_basic_tap_tests_reset,PASS,PASS
parscfioinf1w_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfioinf1w_ijtag_basic_tap_tests_reset,PASS,PASS
parscfioinf1e_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfioinf2e_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfcrsuio_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfioinf0w_ijtag_basic_tap_tests_reset,PASS,PASS
parscfcrsp2p_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfcrsp2p_ijtag_basic_tap_tests_reset,PASS,PASS
parscfioinf0e_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfioinf1e_ijtag_basic_tap_tests_reset,PASS,PASS
parscfcms2xcrs2x_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfcrsuio_ijtag_basic_tap_tests_reset,PASS,PASS
parfws_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
pargpio1p8_ijtag_basic_tap_tests_reset,PASS,PASS
parscfioinf0e_ijtag_basic_tap_tests_reset,PASS,PASS
pardfd_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
pargpiod2d_ijtag_basic_tap_tests_reset,PASS,PASS
parscfioinf0w_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
pargpio1p8_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parfws_ijtag_basic_tap_tests_reset,PASS,PASS
parscfcms2xcrs2x_ijtag_basic_tap_tests_reset,PASS,PASS
pardfd_ijtag_basic_tap_tests_reset,PASS,PASS
pard2dinf2e_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
pard2dinf2w_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
pard2dinf2e_ijtag_basic_tap_tests_reset,PASS,PASS
pard2dinf1e_ijtag_basic_tap_tests_reset,FAIL,Error between simulated and expected patterns
parscfscatopllcsf0_stuckat_edt_edt_low_internal_loopback,PASS,PASS
pard2dinf0w_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
pard2dinf1e_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
pard2dinf2w_ijtag_basic_tap_tests_reset,PASS,PASS
pard2dch1_ijtag_basic_tap_tests_reset,PASS,PASS
