test_name,test_status,test_result
parmioiommu_uio_0_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmioitc_uio_0_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmiofblptx_uio_1_ijtag_basic_tap_tests_rw_access,FAIL,Command './buildsimv.sh' returned exit status 2 !
parmiofblprxfcrarbmux_uio_1_ijtag_basic_tap_tests_rw_access,FAIL,Command './buildsimv.sh' returned exit status 2 !
parmioasf_uio_1_ijtag_basic_tap_tests_rw_access,FAIL,Command './buildsimv.sh' returned exit status 2 !
parmiofblprxfcrarbmux_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmiofblptx_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmiocxlrx_uio_0_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmiocpc_uio_0_ijtag_basic_tap_tests_rw_access,PASS,PASS
parmioasf_uio_0_ijtag_basic_tap_tests_rw_access,FAIL,Error between simulated and expected patterns
parmiocxltx_uio_0_ijtag_basic_tap_tests_rw_access,PASS,PASS
